game_id,drive,play_count,run_pct,pass_pct,success_rate,avg_epa,start_yardline,end_yardline,drive_result,field_pos_gain,cluster
2016_14_ATL_LA,9.0,4,0.25,0.5,0.5,-0.12229240522719897,,,Punt,,2
2016_14_ATL_LA,12.0,4,0.25,0.5,0.25,-0.8036242828820825,,,Punt,,2
2016_14_ATL_LA,14.0,7,0.14285714285714285,0.7142857142857143,0.42857142857142855,0.008425457519479004,,,Punt,,2
2016_14_ATL_LA,16.0,5,0.2,0.8,0.2,-0.0910278791910971,,,End of half,,2
2016_14_ATL_LA,17.0,6,0.0,0.5,0.5,1.069384137961695,,,Touchdown,,1
2016_14_ATL_LA,19.0,9,0.5555555555555556,0.3333333333333333,0.6666666666666666,0.5408398565536112,,,Touchdown,,1
2016_14_ATL_LA,22.0,8,0.625,0.125,0.25,-0.23301775677828185,,,Punt,,0
2016_14_ATL_LA,24.0,4,0.75,0.0,0.5,-0.40422136860433877,,,Punt,,0
2016_14_ATL_LA,26.0,5,0.4,0.2,0.2,-0.2116725353058427,,,Punt,,0
2016_15_SF_ATL,2.0,7,0.42857142857142855,0.42857142857142855,0.8571428571428571,0.5272796312599343,,,Touchdown,,1
2016_15_SF_ATL,4.0,6,0.3333333333333333,0.5,0.6666666666666666,0.6489723288981276,50.0,,Touchdown,,1
2016_15_SF_ATL,6.0,13,0.38461538461538464,0.46153846153846156,0.5384615384615384,0.3270919899986068,,,Touchdown,,1
2016_15_SF_ATL,8.0,5,0.6,0.2,0.6,-0.17324896082282049,,,Turnover,,0
2016_15_SF_ATL,10.0,8,0.5,0.25,0.875,0.856179942398987,,,Touchdown,,1
2016_15_SF_ATL,12.0,2,0.5,0.0,0.0,-0.080464536033105,,,End of half,,0
2016_15_SF_ATL,13.0,12,0.5,0.25,0.4166666666666667,-0.10717994989439239,,,Punt,,1
2016_15_SF_ATL,15.0,6,0.5,0.3333333333333333,0.5,0.04383211148281966,,,Field goal,,0
2016_15_SF_ATL,17.0,6,0.5,0.16666666666666666,0.8333333333333334,0.949311175956333,,,Touchdown,,1
2016_15_SF_ATL,19.0,9,0.5,0.3,0.3,-0.1543332675937565,,,Punt,,0
2016_15_SF_ATL,21.0,8,0.75,0.125,0.375,0.3325227240275126,,,Field goal,,0
2016_16_ATL_CAR,1.0,10,0.3,0.5,0.8,0.641630482777017,,,Touchdown,,1
2016_16_ATL_CAR,3.0,5,0.2,0.6,0.4,0.03333685430697977,,,Field goal,,2
2016_16_ATL_CAR,5.0,8,0.5,0.25,0.75,0.28338918229565063,,,Field goal,,1
2016_16_ATL_CAR,7.0,4,0.5,0.25,0.25,-0.7213963760295892,,,Punt,,0
2016_16_ATL_CAR,9.0,14,0.14285714285714285,0.6428571428571429,0.5714285714285714,0.4305350764927281,,,Touchdown,,1
2016_16_ATL_CAR,11.0,4,0.25,0.5,0.25,-0.5796848926402169,,,Punt,,2
2016_16_ATL_CAR,13.0,4,0.25,0.5,0.0,-0.7914268537278979,,,Missed field goal,,2
2016_16_ATL_CAR,16.0,12,0.3333333333333333,0.4166666666666667,0.5,0.19259153624686132,,,Field goal,,1
